Timestamp,Intersection_ID,Vehicle_Count,Avg_Speed,Queue_Length,Occupancy_Pct,Delay_Seconds,Weather,Incident_Flag,Lane_Count,Time_of_Day,Day_of_Week
2026-01-01 00:00:00,INT_01,55,38.33,2,100.0,11.66,Rain,0,3,Night,Thursday
2026-01-01 00:00:00,INT_02,47,41.0,1,100.0,7.64,Clear,0,2,Night,Thursday
2026-01-01 00:00:00,INT_03,35,44.82,1,100.0,4.55,Clear,0,2,Night,Thursday
2026-01-01 00:00:00,INT_04,48,42.27,1,100.0,7.9,Clear,0,3,Night,Thursday
2026-01-01 00:15:00,INT_01,60,34.29,3,100.0,18.28,Rain,0,3,Night,Thursday
2026-01-01 00:15:00,INT_02,42,45.45,1,100.0,4.21,Clear,0,2,Night,Thursday
2026-01-01 00:15:00,INT_03,36,42.98,1,100.0,6.95,Clear,0,2,Night,Thursday
2026-01-01 00:15:00,INT_04,46,43.27,1,100.0,5.78,Clear,0,3,Night,Thursday
2026-01-01 00:30:00,INT_01,56,41.4,1,100.0,6.99,Clear,0,3,Night,Thursday
2026-01-01 00:30:00,INT_02,45,41.27,1,100.0,10.51,Clear,0,2,Night,Thursday
2026-01-01 00:30:00,INT_03,35,38.6,1,100.0,10.48,Rain,0,2,Night,Thursday
2026-01-01 00:30:00,INT_04,44,32.79,2,100.0,13.92,Heavy_Rain,0,3,Night,Thursday
2026-01-01 00:45:00,INT_01,66,38.69,2,100.0,11.92,Clear,0,3,Night,Thursday
2026-01-01 00:45:00,INT_02,39,38.23,0,100.0,7.2,Fog,0,2,Night,Thursday
2026-01-01 00:45:00,INT_03,34,41.54,0,100.0,4.23,Rain,0,2,Night,Thursday
2026-01-01 00:45:00,INT_04,44,41.03,1,100.0,7.58,Clear,0,3,Night,Thursday
2026-01-01 01:00:00,INT_01,62,43.95,1,100.0,7.06,Clear,0,3,Night,Thursday
2026-01-01 01:00:00,INT_02,38,44.78,1,100.0,2.89,Clear,0,2,Night,Thursday
2026-01-01 01:00:00,INT_03,35,43.56,1,100.0,6.56,Clear,0,2,Night,Thursday
2026-01-01 01:00:00,INT_04,48,36.72,1,100.0,7.88,Rain,0,3,Night,Thursday
2026-01-01 01:15:00,INT_01,59,38.49,1,100.0,10.19,Clear,0,3,Night,Thursday
2026-01-01 01:15:00,INT_02,38,43.72,1,100.0,4.34,Clear,0,2,Night,Thursday
2026-01-01 01:15:00,INT_03,38,44.54,1,100.0,3.76,Clear,0,2,Night,Thursday
2026-01-01 01:15:00,INT_04,53,42.08,2,100.0,10.2,Clear,0,3,Night,Thursday
2026-01-01 01:30:00,INT_01,61,36.07,2,100.0,14.12,Rain,0,3,Night,Thursday
2026-01-01 01:30:00,INT_02,42,40.58,1,100.0,9.1,Clear,0,2,Night,Thursday
2026-01-01 01:30:00,INT_03,35,43.6,0,100.0,4.47,Rain,0,2,Night,Thursday
2026-01-01 01:30:00,INT_04,51,37.79,1,100.0,11.83,Clear,0,3,Night,Thursday
2026-01-01 01:45:00,INT_01,61,41.1,1,100.0,6.26,Clear,0,3,Night,Thursday
2026-01-01 01:45:00,INT_02,43,35.42,2,100.0,13.28,Clear,1,2,Night,Thursday
2026-01-01 01:45:00,INT_03,33,42.07,0,100.0,5.55,Rain,0,2,Night,Thursday
2026-01-01 01:45:00,INT_04,46,43.91,1,100.0,6.24,Clear,0,3,Night,Thursday
2026-01-01 02:00:00,INT_01,67,37.1,2,100.0,12.46,Clear,0,3,Night,Thursday
2026-01-01 02:00:00,INT_02,41,38.08,1,100.0,9.97,Rain,0,2,Night,Thursday
2026-01-01 02:00:00,INT_03,29,46.57,0,100.0,3.97,Clear,0,2,Night,Thursday
2026-01-01 02:00:00,INT_04,49,44.82,1,100.0,3.87,Clear,0,3,Night,Thursday
2026-01-01 02:15:00,INT_01,63,41.09,1,100.0,7.17,Clear,0,3,Night,Thursday
2026-01-01 02:15:00,INT_02,49,42.03,1,100.0,7.16,Rain,0,2,Night,Thursday
2026-01-01 02:15:00,INT_03,40,33.47,1,100.0,9.03,Heavy_Rain,0,2,Night,Thursday
2026-01-01 02:15:00,INT_04,52,37.84,2,100.0,13.69,Clear,0,3,Night,Thursday
2026-01-01 02:30:00,INT_01,55,34.99,2,100.0,12.55,Rain,0,3,Night,Thursday
2026-01-01 02:30:00,INT_02,44,40.64,1,100.0,12.55,Clear,0,2,Night,Thursday
2026-01-01 02:30:00,INT_03,34,43.27,0,100.0,4.57,Clear,0,2,Night,Thursday
2026-01-01 02:30:00,INT_04,51,43.37,1,100.0,4.78,Clear,0,3,Night,Thursday
2026-01-01 02:45:00,INT_01,63,20.13,6,100.0,31.15,Rain,1,3,Night,Thursday
2026-01-01 02:45:00,INT_02,46,34.43,2,100.0,11.72,Fog,0,2,Night,Thursday
2026-01-01 02:45:00,INT_03,39,42.91,1,100.0,4.35,Clear,0,2,Night,Thursday
2026-01-01 02:45:00,INT_04,51,39.55,1,100.0,7.68,Rain,0,3,Night,Thursday
2026-01-01 03:00:00,INT_01,62,41.0,1,100.0,4.23,Clear,0,3,Night,Thursday
2026-01-01 03:00:00,INT_02,46,45.43,0,100.0,3.61,Clear,0,2,Night,Thursday
2026-01-01 03:00:00,INT_03,37,42.43,1,100.0,7.81,Clear,0,2,Night,Thursday
2026-01-01 03:00:00,INT_04,47,38.63,1,100.0,9.02,Clear,0,3,Night,Thursday
2026-01-01 03:15:00,INT_01,54,39.01,2,100.0,13.6,Clear,0,3,Night,Thursday
2026-01-01 03:15:00,INT_02,45,33.78,2,100.0,12.08,Rain,0,2,Night,Thursday
2026-01-01 03:15:00,INT_03,32,47.76,0,100.0,0.38,Clear,0,2,Night,Thursday
2026-01-01 03:15:00,INT_04,48,41.74,1,100.0,5.22,Clear,0,3,Night,Thursday
2026-01-01 03:30:00,INT_01,64,33.47,3,100.0,18.2,Rain,0,3,Night,Thursday
2026-01-01 03:30:00,INT_02,49,40.9,1,100.0,7.33,Clear,0,2,Night,Thursday
2026-01-01 03:30:00,INT_03,32,44.93,0,100.0,0.62,Clear,0,2,Night,Thursday
2026-01-01 03:30:00,INT_04,60,37.7,3,100.0,15.82,Fog,0,3,Night,Thursday
2026-01-01 03:45:00,INT_01,62,40.14,1,100.0,7.06,Clear,0,3,Night,Thursday
2026-01-01 03:45:00,INT_02,46,41.34,0,100.0,3.95,Clear,0,2,Night,Thursday
2026-01-01 03:45:00,INT_03,32,40.68,0,100.0,8.12,Clear,0,2,Night,Thursday
2026-01-01 03:45:00,INT_04,51,38.68,2,100.0,16.88,Clear,0,3,Night,Thursday
2026-01-01 04:00:00,INT_01,60,43.2,1,100.0,6.72,Clear,0,3,Night,Thursday
2026-01-01 04:00:00,INT_02,40,30.17,2,100.0,13.88,Heavy_Rain,0,2,Night,Thursday
2026-01-01 04:00:00,INT_03,34,37.02,2,100.0,10.84,Rain,0,2,Night,Thursday
2026-01-01 04:00:00,INT_04,46,40.44,2,100.0,7.6,Clear,0,3,Night,Thursday
2026-01-01 04:15:00,INT_01,64,40.05,2,100.0,8.52,Clear,0,3,Night,Thursday
2026-01-01 04:15:00,INT_02,45,34.96,2,100.0,12.06,Fog,0,2,Night,Thursday
2026-01-01 04:15:00,INT_03,39,40.58,1,100.0,8.1,Clear,0,2,Night,Thursday
2026-01-01 04:15:00,INT_04,45,44.39,1,100.0,3.98,Clear,0,3,Night,Thursday
2026-01-01 04:30:00,INT_01,53,42.44,1,100.0,7.36,Clear,0,3,Night,Thursday
