Timestamp,Intersection_ID,Vehicle_Count,Avg_Speed,Queue_Length,Occupancy_Pct,Delay_Seconds,Weather,Incident_Flag,Lane_Count,Time_of_Day,Day_of_Week,Hour,Minute,DayOfWeekNum,IsWeekend,IsPeakHour,Weather_Severity,Congestion_Level,Rule_Based_Anomaly_Score
2026-01-01 00:00:00,INT_01,55,38.33,2,100.0,11.66,Rain,0,3,Night,Thursday,0,0,3,0,0,1,Medium,0.0
2026-01-01 00:00:00,INT_02,47,41.0,1,100.0,7.64,Clear,0,2,Night,Thursday,0,0,3,0,0,0,Low,0.0
2026-01-01 00:00:00,INT_03,35,44.82,1,100.0,4.55,Clear,0,2,Night,Thursday,0,0,3,0,0,0,Low,0.0
2026-01-01 00:00:00,INT_04,48,42.27,1,100.0,7.9,Clear,0,3,Night,Thursday,0,0,3,0,0,0,Low,0.0
2026-01-01 00:15:00,INT_01,60,34.29,3,100.0,18.28,Rain,0,3,Night,Thursday,0,15,3,0,0,1,Medium,0.09911031815405993
2026-01-01 00:15:00,INT_02,42,45.45,1,100.0,4.21,Clear,0,2,Night,Thursday,0,15,3,0,0,0,Low,0.0
2026-01-01 00:15:00,INT_03,36,42.98,1,100.0,6.95,Clear,0,2,Night,Thursday,0,15,3,0,0,0,Low,0.035041226860021216
2026-01-01 00:15:00,INT_04,46,43.27,1,100.0,5.78,Clear,0,3,Night,Thursday,0,15,3,0,0,0,Low,0.0
2026-01-01 00:30:00,INT_01,56,41.4,1,100.0,6.99,Clear,0,3,Night,Thursday,0,30,3,0,0,0,Low,0.0
2026-01-01 00:30:00,INT_02,45,41.27,1,100.0,10.51,Clear,0,2,Night,Thursday,0,30,3,0,0,0,Low,0.03807652934824772
2026-01-01 00:30:00,INT_03,35,38.6,1,100.0,10.48,Rain,0,2,Night,Thursday,0,30,3,0,0,1,Low,0.08386075949367085
2026-01-01 00:30:00,INT_04,44,32.79,2,100.0,13.92,Heavy_Rain,0,3,Night,Thursday,0,30,3,0,0,3,Medium,0.16868080791008203
2026-01-01 00:45:00,INT_01,66,38.69,2,100.0,11.92,Clear,0,3,Night,Thursday,0,45,3,0,0,0,Medium,0.11392405063291139
2026-01-01 00:45:00,INT_02,39,38.23,0,100.0,7.2,Fog,0,2,Night,Thursday,0,45,3,0,0,2,Low,0.07851762579090088
2026-01-01 00:45:00,INT_03,34,41.54,0,100.0,4.23,Rain,0,2,Night,Thursday,0,45,3,0,0,1,Low,0.010599023460759803
2026-01-01 00:45:00,INT_04,44,41.03,1,100.0,7.58,Clear,0,3,Night,Thursday,0,45,3,0,0,0,Low,0.0
2026-01-01 01:00:00,INT_01,62,43.95,1,100.0,7.06,Clear,0,3,Night,Thursday,1,0,3,0,0,0,Low,0.03678929765886293
2026-01-01 01:00:00,INT_02,38,44.78,1,100.0,2.89,Clear,0,2,Night,Thursday,1,0,3,0,0,0,Low,0.0
2026-01-01 01:00:00,INT_03,35,43.56,1,100.0,6.56,Clear,0,2,Night,Thursday,1,0,3,0,0,0,Low,0.0
2026-01-01 01:00:00,INT_04,48,36.72,1,100.0,7.88,Rain,0,3,Night,Thursday,1,0,3,0,0,1,Low,0.10712575168963871
2026-01-01 01:15:00,INT_01,59,38.49,1,100.0,10.19,Clear,0,3,Night,Thursday,1,15,3,0,0,0,Low,0.017903465872847153
2026-01-01 01:15:00,INT_02,38,43.72,1,100.0,4.34,Clear,0,2,Night,Thursday,1,15,3,0,0,0,Low,0.0
2026-01-01 01:15:00,INT_03,38,44.54,1,100.0,3.76,Clear,0,2,Night,Thursday,1,15,3,0,0,0,Low,0.07042253521126761
2026-01-01 01:15:00,INT_04,53,42.08,2,100.0,10.2,Clear,0,3,Night,Thursday,1,15,3,0,0,0,Medium,0.12367491166077745
2026-01-01 01:30:00,INT_01,61,36.07,2,100.0,14.12,Rain,0,3,Night,Thursday,1,30,3,0,0,1,Medium,0.08815140779073241
2026-01-01 01:30:00,INT_02,42,40.58,1,100.0,9.1,Clear,0,2,Night,Thursday,1,30,3,0,0,0,Low,0.04749193774108591
2026-01-01 01:30:00,INT_03,35,43.6,0,100.0,4.47,Rain,0,2,Night,Thursday,1,30,3,0,0,1,Low,0.0
2026-01-01 01:30:00,INT_04,51,37.79,1,100.0,11.83,Clear,0,3,Night,Thursday,1,30,3,0,0,0,Low,0.11024658420068721
2026-01-01 01:45:00,INT_01,61,41.1,1,100.0,6.26,Clear,0,3,Night,Thursday,1,45,3,0,0,0,Low,0.016666666666666666
2026-01-01 01:45:00,INT_02,43,35.42,2,100.0,13.28,Clear,1,2,Night,Thursday,1,45,3,0,0,0,Medium,0.17244276766485178
2026-01-01 01:45:00,INT_03,33,42.07,0,100.0,5.55,Rain,0,2,Night,Thursday,1,45,3,0,0,1,Low,0.0150712592549237
2026-01-01 01:45:00,INT_04,46,43.91,1,100.0,6.24,Clear,0,3,Night,Thursday,1,45,3,0,0,0,Low,0.0
